"year","quarter","president","approval","kj_q","kp_q","kc_q","unemp_k_q","cpi_k_q","newgov"
1993,1,"Y Kim","71",4.23333333333333,1.70510869565217,4.48888888888889,2.93333333333333,4.67196333333333,1
1993,2,"Y Kim","83",-1.02666666666667,2.55,1.44166666666667,2.96666666666667,4.50594966666667,0
1993,3,"Y Kim","83",1.14583333333333,0.895833333333333,1.87,2.86666666666667,5.05770666666667,0
1993,4,"Y Kim","59",1.66666666666667,2.65925925925926,2.25,2.7,6.32164466666667,0
1994,1,"Y Kim","55",1.71547619047619,1.11615079365079,2.48771929824561,2.63333333333333,6.004781,0
1994,2,"Y Kim","55",1.28333333333333,2.03782051282051,0.3,2.4,6.710532,0
1994,3,"Y Kim","44",-3.625,2.69774114774115,2.48,2.33333333333333,6.11315133333333,0
1994,4,"Y Kim","36",1.45,1.29333333333333,4.82,2.16666666666667,5.076496,0
1995,1,"Y Kim","37",0.763418803418803,2.10619528619529,4.91555555555556,2.06666666666667,4.97665866666667,0
1995,2,"Y Kim","28",2.725,1.62916666666667,2.88333333333333,2.03333333333333,3.73644133333333,0
1995,3,"Y Kim","29",-0.03125,1.22777777777778,4,2.13333333333333,4.42300266666667,0
1995,4,"Y Kim","32",2.11222222222222,1.21814814814815,1.38888888888889,1.9,4.781712,0
1996,1,"Y Kim","41",3.21111111111111,1.39690476190476,2.46666666666667,2,4.61591366666667,0
1996,2,"Y Kim","41",-3.05555555555556,1.85134032634033,-0.262698412698413,2.06666666666667,5.29392733333333,0
1996,3,"Y Kim","34",0.409523809523809,-0.683164983164983,0.86,2.1,4.94710333333333,0
1996,4,"Y Kim","28",-0.33015873015873,0.18562091503268,0.764666666666667,2.43333333333333,4.82249766666667,0
1997,1,"Y Kim","14",-2.04444444444444,2.82436162870945,1.72578347578348,2.76666666666667,4.220577,0
1997,2,"Y Kim","7",0.105555555555556,2.63333333333333,2.5452380952381,2.4,3.88933433333333,0
1997,3,"Y Kim","8",2.85277777777778,1.41681096681097,-0.853333333333333,2.6,4.27285733333333,0
1997,4,"Y Kim","6",-0.253514328808446,2.33686868686869,2.53666666666667,4.06666666666667,8.13812666666667,0
1998,1,"D Kim","71",0.0533333333333333,3.01752645502645,1.38677248677249,6.46666666666667,8.65185833333333,1
1998,2,"D Kim","62",1.4047619047619,0.331960784313726,4.1665404040404,7.9,7.24728833333333,0
1998,3,"D Kim","56",0.952836052836053,1.21922558922559,2.07638888888889,8.06666666666667,6.959768,0
1998,4,"D Kim","63",1.20550108932462,1.37352272727273,-1.53428571428571,7.63333333333333,1.8658762,0
1999,1,"D Kim","60",0.971111111111111,1.83835005574136,1.48787878787879,7,0.5638291,0
1999,2,"D Kim","52",0.681710022181891,0.723869047619048,3.21752136752137,6.86666666666667,0.596248866666667,0
1999,3,"D Kim","46",-0.568055555555556,3.0975,2.61058201058201,5.46666666666667,1.09825963333333,0
1999,4,"D Kim","50",1.05722222222222,2.05180375180375,2.33305555555556,5.03333333333333,1.67211066666667,0
2000,1,"D Kim","49",1.17154882154882,2.63058031293325,2.53701058201058,4.4,1.55334433333333,0
2000,2,"D Kim","38",3.55555555555556,2.58297334849059,2.19626844890003,4.16666666666667,2.54763166666667,0
2000,3,"D Kim","54",1.25791245791246,2.80188106467176,2.38240740740741,4.23333333333333,2.785932,0
2000,4,"D Kim","30",-0.367307692307692,2.80454545454545,3.34423076923077,4.5,3.281641,0
2001,1,"D Kim","27",-0.190197483675745,1.82444444444444,2.82962962962963,4.16666666666667,4.702473,0
2001,2,"D Kim","29",-1.11951944712311,1.11467727674624,-1.06282372598162,3.8,4.84632966666667,0
2001,3,"D Kim","28",0.304224270353303,2.19647323436797,4.12759259259259,3.7,3.32590166666667,0
2001,4,"D Kim","31",-1.05185185185185,2.93989417989418,3.11111111111111,3.63333333333333,2.80969666666667,0
2002,1,"D Kim","33",0.430476190476191,2.52066666666667,1.93507625272331,3.36666666666667,2.59743733333333,0
2002,2,"D Kim","26",1.14888888888889,0.384187535861699,0.761287878787879,3.16666666666667,2.35940433333333,0
2002,3,"D Kim","28",1.72095238095238,1.27642140468227,-1.48604166666667,3.06666666666667,3.09161533333333,0
2002,4,"D Kim","24",-0.804232804232804,1.18667683873163,1.34861111111111,3.26666666666667,3.81018533333333,0
2003,1,"M Roh","60",0.291812865497076,0.867520442520442,0.501851851851852,3.46666666666667,3.816427,1
2003,2,"M Roh","40",0.191784188034188,1.3970785440613,1.54071895424837,3.6,3.05269166666667,0
2003,3,"M Roh","29",2.12460317460317,0.589204545454545,0.831587301587302,3.73333333333333,3.49294133333333,0
2003,4,"M Roh","22",0.863852813852814,2.37487373737374,1.58822990734755,3.63333333333333,3.36618966666667,0
2004,1,"M Roh","25",1.40857753357753,2.28452252252252,1.11460317460317,3.63333333333333,3.22155566666667,0
2004,2,"M Roh","34",0.995767195767196,2.22524931104899,0.0178228228228228,3.63333333333333,4.26021266666667,0
2004,3,"M Roh","23",0.4825,1.21746031746032,0.228095238095238,3.66666666666667,3.64396533333333,0
2004,4,"M Roh","27",-0.156888888888889,1.285289461782,0.0203205128205129,3.8,3.26769966666667,0
2005,1,"M Roh","33",-1.01060761465691,1.6209957007581,-0.599621212121212,3.7,3.05293733333333,0
2005,2,"M Roh","34",0.777905785970302,2.61484013542911,1.89059343434343,3.7,2.43155833333333,0
2005,3,"M Roh","28",0.666,1.37999153055051,1.9510101010101,3.76666666666667,2.41656533333333,0
2005,4,"M Roh","23",-0.493385620915033,1.39330076081068,1.65251322751323,3.53333333333333,2.28600766666667,0
2006,1,"M Roh","27",-0.175317741554453,0.686833448355188,-0.293167701863354,3.5,2.10145666666667,0
2006,2,"M Roh","20",0.790037929495761,0.890471333501907,2.79286324786325,3.5,2.50083733333333,0
2006,3,"M Roh","16",2.02907925407925,-0.179176620480968,2.1196389291271,3.53333333333333,2.25464433333333,0
2006,4,"M Roh","12",-0.305679769203029,1.76124638091085,1.64050442311312,3.33333333333333,1.98067766666667,0
2007,1,"M Roh","16",0.576590390002155,1.66799526490108,0.880967000835422,3.26666666666667,2.31922366666667,0
2007,2,"M Roh","24",-0.721121593291405,2.80604067618796,-0.229388271965712,3.23333333333333,2.37547633333333,0
2007,3,"M Roh","27",-1.17816091954023,2.06559028390666,0.125447217024848,3.23333333333333,2.95291233333333,0
2007,4,"M Roh","27",-0.837612612612613,1.06930075477141,1.4990297990298,3.06666666666667,3.69090333333333,0
2008,1,"M Lee","52",-1.66379892037787,0.995456551170837,0.997684569277029,3.1,4.30974266666667,1
2008,2,"M Lee","21",-2.3445911154324,1.04460159783699,1.65697080291971,3.13333333333333,5.687229,0
2008,3,"M Lee","24",-0.724404804546649,0.561292599314378,2.31635368850559,3.26666666666667,4.81871966666667,0
2008,4,"M Lee","32",1.42591431556949,1.48216458858493,-1.13638330204702,3.4,3.996425,0
2009,1,"M Lee","34",-0.754335799859056,-1.60034613642131,1.28343015575024,3.7,3.39945633333333,0
2009,2,"M Lee","27",1.24655032467532,-0.147871774004395,1.0756981580511,3.83333333333333,1.924785,0
2009,3,"M Lee","36",-1.08919540229885,0.69434476210387,2.76611927398444,3.6,2.19397933333333,0
2009,4,"M Lee","47",1.59057012125372,1.81462169950442,2.95648363611621,4.13333333333333,3.10126933333333,0
2010,1,"M Lee","44",-0.509337822671156,0.270951692374439,0.791153141330307,3.5,2.58612,0
2010,2,"M Lee","49",1.73876050420168,-1.16731635262007,1.49722630385488,3.56666666666667,2.63347833333333,0
2010,3,"M Lee","44",-0.877841538306655,-0.15487904167264,2.46092756771176,3.53333333333333,3.35941,0
2010,4,"M Lee","47",2.15194197337054,0.917203273116527,1.10611198393995,3.66666666666667,3.47108333333333,0
2011,1,"M Lee","43",1.00446287565722,-0.196507012758965,2.37170997400967,3.53333333333333,3.95378466666667,0
2011,2,"M Lee","39",0.254900862106475,-0.126503768403746,1.37721468082893,3.26666666666667,4.470647,0
2011,3,"M Lee","37",0.994673199207756,0.613873115480817,0.580388888888889,3.23333333333333,3.83194933333333,0
2011,4,"M Lee","32",0.035728468602631,2.13201988743362,2.48623743030665,3.3,3.51245833333333,0
2012,1,"M Lee","24",0.971014352523787,-0.998695228619989,1.58597710028496,3.26666666666667,2.58445533333333,0
2012,2,"M Lee","25",-0.741408034653829,-0.888026472461441,2.59376389692179,3.13333333333333,1.64659733333333,0
2012,3,"M Lee","23",-1.32300705251501,1.80603091607013,1.46079686820357,3.13333333333333,1.93668633333333,0
2012,4,"M Lee","23",0.374697613599215,-1.01524785565421,1.92378068956389,3.16666666666667,1.54622633333333,0
2013,1,"G Park","42",-2.40061521472072,-0.406388742739008,2.3321167791948,3.06666666666667,1.313037,1
2013,2,"G Park","51",0.7938633346065,1.1663003165083,2.52590536239838,3.13333333333333,1.42959366666667,0
2013,3,"G Park","60",-1.85004076158268,1.33653624856157,0.520965870528926,3.03333333333333,1.01408856666667,0
2013,4,"G Park","54",0.11554759960639,0.390529408422557,1.74489686102018,3.36666666666667,1.07871233333333,0
2014,1,"G Park","55",0.217236310564487,-0.27045923727981,2.92593506300334,3.53333333333333,1.485334,0
2014,2,"G Park","50",-0.272423500939228,0.393050193050193,3.12149358749649,3.43333333333333,1.55214666666667,0
2014,3,"G Park","44",0.52036458266346,0.660690505915225,0.00382842090159167,3.5,1.0873824,0
2014,4,"G Park","44",-1.96774193548387,2.56666666666667,1.384,3.63333333333333,0.8176537,0
